tid,text,gt
439,Join us tomorrow night for a town hall to share your story on how the federal shutdown has impacted you and your family. This is an emergency for our city and our residents. Your stories will help me #EndTheShutdown.,1
440,"New Mexico is proud to be a national leader in enacting bold climate policy.  As the Trump administration has rolled back environmental protections, New Mexico is implementing robust and innovative regulations to curb emissions and hold bad actors accountable.",1
441,"Today I visited the site where Michael Brown, Jr. lost his life in #Ferguson to pay my respects.",1
442,"DC residents, who already pay the highest federal taxes per capita in the nation—without representation—should consider pre-paying their 2018 property taxes, which will help them avoid being double taxed, at least next year, by the #GOPTaxScam.  Visit HTTPURL",1
443,61% of DC kids with severe disabilities & special needs rely on public programs like Medicaid. We must defeat cruel #Trumpcare Medicaid cuts,1
444,Spoke with Maury county officials about current issues & putting an end to the president's dangerous #IranDeal #TN04,2
445,"Today we honor those who lost their lives and loved ones and the first responders who bravely put others before themselves.  On 9/11, our country stood as one united in strength and freedom.  That day there was no Right or Left, rich or poor – we were all Americans.",2
446,Have questions or thoughts on #TPP? Join the #TwitterTradeTalk TODAY from noon-12:30.,1
447,Businesses that need a @USER license to export can't do so because of the #shutdown HTTPURL,1
448,Step 1: Promise to never cut #Medicaid Step 2: Become President of the United States Step 3: Cut Medicaid's budget in half  #TrumpCare,1
449,"Life, liberty & the pursuit of happiness for everyone HTTPURL… #LoveIsLove #LoveWins",1
450,"Going live now on @USER with to discuss the looming federal government shutdown and our work to ensure the DC government stays open, no matter what. I’ll also push to ensure back pay for federal workers and low-wage federal contract workers.",1
451,"64% of #NJ grads hold student loan debt. We shld freeze interest rates at 3.4%, not double them. #DontDoubleMyRate",1
452,"I'm grateful to announce today that the Stanley E. Fulton Family Foundation of Sunland Park​ has contributed $2 million to the #AllTogetherNM fund, the statewide philanthropic effort we've launched that is dedicated to COVID-19 response & relief efforts. HTTPURL",1
453,Great chatting with @USER last night. @USER does so much to protect government employees. My bill to reimburse federal workers for the late fees and interest they’re charged during government shutdowns should make that job a little easier.,1
454,"Refusing to #ActonClimate comes with costs and consequences to our environment, public health, and our economy. #DefendScience",1
455,Addressing Minnkota Power Co-Op's annual meeting in Grand Forks today.,2
456,"As we approach the deadline to #GetCovered, I want to thank Dr. Kathleen Connors & her dedicated staff @USER the WellRefugee Center, 3729 Church Street, Clarkston. Can't make it to Clarkston? Call 888-230-7772 or visit HTTPURL or HTTPURL to enroll.",1
457,US businesses add #jobs for 35th straight month. At minimum must replace #sequester to continue growth,1
458,"In just one year, we’ve reduced the uninsured rate among adults by 26%! #ACAWorks",1
459,On Mon I have the honor of introducing fmr Israeli Pres Shimon Peres during the Tarrant County College lunch in FW.,2
460,"Announced today: New Mexicans will have an extra 90 days to file and pay their 2019 personal income taxes due to the ongoing COVID-19 public health emergency. State income, as well as state payroll taxes, will now be due July 15. More info: HTTPURL…",1
461,John Cornyn is cheating on you with Obamacare #tcot #teaparty #gop #republican #txlege #txsen #obamacare #tlot #txgop,2
462,Good discussion this morning at #TomTomFest in Charlottesville about #climatepolicy. Grateful to @USER for sponsoring. @USER tells me I’m the person on the left.,2
463,"The #COVID19 updates we announce every day depend on YOU.   I want to be able to tell you good news – but that depends on how well New Mexicans do at social distancing, at slowing the spread of COVID-19.  We cannot relax yet. Every New Mexican has a role to play. HTTPURL…",1
464,#SupremeCourt stays @USER #EPA #CleanPowerPlan rules while states fight them - HTTPURL #NDPOL,2
465,Working #women across America would benefit most if we #RaiseTheWage. #With1010 we could lift millions out of poverty,1
466,I was glad to join governors from around the country this morning on a conference call with @USER Pence & @USER officials for an update on the federal response to the COVID-19 #coronavirus. @USER is ensuring that New Mexico is mobilized and prepared for any potential outbreak.,1
467,"Every single day, families around the world are forced to flee their homes in search of safety. This #WorldRefugeeDay, & every day, we must continue our tradition of welcoming refugees. #RefugeesWelcome #WRD2019 Proud cosponsor of #GraceAct, #NoBanAct & member of #RefugeeCaucus",1
468,"Clint Romesha contacted me about a solider from AZ, Sgt. Justin Gallegos, who died selflessly in Afghanistan. I worked on an amendment that was passed in the #NDAA to grant a waiver so Sgt. Gallegos can be awarded the Distinguished-Service Cross. MORE: HTTPURL",2
469,There is no wrong way to express gratitude for our health care workers and other essential employees who are working tirelessly during this public health emergency. I want to thank those individuals for their work! You can stay updated on COVID-19 at: HTTPURL.,1
470,“This shutdown is causing us to all fall down together.” #EndtheShutdown,1
471,"A scam may start with an unsolicited contact by phone email or social media. If you plan to aid victims of the #COVID19 outbreak, first check that you’re doing it through a legitimate charity. For more information visit: HTTPURL",1
472,"Great to meet today with the Consulate General of Canada @USER – my office had a productive conversation with her and her team about climate change, trade, and ways to foster indigenous-owned local businesses in Canada and here in New Mexico. #NMgov",1
473,At @USER with @USER to highlight the shutdown’s disproportionate impact on DC. The #TrumpShutdown is causing such widespread pain that we must treat it as an emergency. #EndTheShutdown,1
474,This year #BlackMaternalHealthWeek comes in the midst of a pandemic. The racial disparities in #COVID19 outcomes reflect ongoing disparities in maternal mortality rates in the U.S. As a Member of the @USER I am working hard to address this crisis #BMHW20.,1
475,"I met with Nevada-based IRS employees on Saturday to discuss how we could help them recover from the shutdown. Late fees and interest piled up on the 3,520 Nevadans denied a paycheck during the shutdown. I'm pushing Congress to make them whole.",1
476,Alistair (my grandson) is ready for the game! Go @USER #WhoDey,2
477,"TODAY, I sent a letter to Congressional leadership to demand another $250 billion for the @USER Paycheck Protection Program and Economic Injury Disaster Loan Program.  It is essential that we support and protect the most vulnerable businesses during the #COVID19 pandemic.",1
478,Mark your calendars for tomorrow’s #ACA Town Hall! We need your stories to help protect #ACA from repeal. RSVP here: HTTPURL…,1
479,"On #WorldAIDSDay, I’m celebrating the advances in medicine and education that are slowing the spread of HIV and recommitting to the work that lies ahead. To help #EndAIDS, please get tested and #KnowYourStatus.",1
480,"House GOP today held their 50th vote to undermine #ACA. Instead they should focus on #RenewUI, #RaiseTheWage.",1
481,"Nearly 41 million Americans have filed for unemployment during this pandemic. And Mitch McConnell think Congress should take a break? The people need action. The Senate must pass the #HeroesAct NOW! Our #PostOffice needs us, too!",1
482,#ObamaCare is bad for #smallbiz...and even worse for employees. Headlines:,2
483,"This #EarthDay, we must recognize the important connection between climate change and health. @USER",1
484,"While millions of Americans are facing disappointing tax returns, the rich get richer--and more intoxicated --off the #GOPTaxScam. Isn’t the passage of this Republican tax scam considered the biggest legislative achievement of @USER HTTPURL @USER",1
485,"On National Gun Violence Awareness Day, we #WearOrange in solidarity with Black Americans, who suffer the most because Mitch McConnell and President Trump refuse to stand up to the gun lobby.   We need common sense gun safety laws.",1
486,"Great chatting about tax reform, #NAFTA, #energy and #immigration with @USER",2
487,Proud to join .@USER & colleagues calling on the nation’s largest credit card companies to stop collecting interest & waive all late fees until the #COVID-19 pandemic has ended. HTTPURL,1
488,"Nice gathering with the @USER in Washington today. There is growing momentum for smart #ClimateAction in Congress, and consensus-building groups like BCSE are leading the way. #CleanEnergy #ClimateChange",2
489,Such a pleasure catching up today with my good friends @USER and Professor Paula Giddings!,1
490,"GOP has no time to vote on #CIR, #equalpay, #raisethewage--theyre too busy playing political games #DoYourJobHouseGOP",1
491,Successful first meeting of the Bipartisan Climate Solutions Caucus. TY to my co-chair & fellow caucus members.,2
492,"Yesterday, I spoke with TSA employees at McCarran about their shutdown experiences. Too many hardworking agents are being forced to skip utility bill payments, and barter with creditors. It’s time to #EndThisShutdown and give people the paychecks they’ve worked hard for.",1
493,Excited to be part of the Foster Grandparent/Senior Companion Program Recognition Event in Grand Forks today.,2
494,Equal Pay Act hasn't been updated in 51 years! It's time to pass the Paycheck Fairness Act!  #NoMadMenPay #EqualPay,1
495,"Instead of renewing UI for 2 million people, @USER will repeal ACA for the 50th time. #DoNothingGOP #RenewUI",1
496,".@USER said “nobody knows” if the #GOPTaxScam will pay for itself. The truth: Everybody knows that it won’t, and seniors & middle-class families will end up footing the bill.",1
497,Today we honor and remember the lives lost on #September11th and the heroes that protected our nation. #NeverForget,2
498,"I asked for @USER subcommittees where I could have the greatest impact for North Dakota. They give us a voice on important state issues like the Grand Forks and Minot Air Force Bases, Cavalier, UND, and the National Guard.",2
499,Side-by-side w/ .@USER gun violence survivors & advocates urging reforms that #disarmhate.,1
